2.5 6.4E-1 -4.72 
2.52 6.3E-1 -4.73 
2.54 6.3E-1 -4.73 
2.56 6.2E-1 -4.73 
2.58 6.2E-1 -4.73 
2.6 6.1E-1 -4.73 
2.62 6.1E-1 -4.73 
2.64 6E-1 -4.73 
2.66 6E-1 -4.73 
2.68 5.9E-1 -4.73 
2.7 5.9E-1 -4.73 
2.72 5.8E-1 -4.73 
2.74 5.8E-1 -4.74 
2.76 5.7E-1 -4.74 
2.78 5.7E-1 -4.74 
2.8 5.7E-1 -4.74 
2.82 5.6E-1 -4.74 
2.84 5.6E-1 -4.74 
2.86 5.5E-1 -4.74 
2.88 5.5E-1 -4.74 
2.9 5.5E-1 -4.74 
2.92 5.4E-1 -4.74 
2.94 5.4E-1 -4.74 
2.96 5.3E-1 -4.74 
2.98 5.3E-1 -4.74 
3 5.3E-1 -4.74 
3.02 5.2E-1 -4.74 
3.04 5.2E-1 -4.74 
3.06 5.2E-1 -4.74 
3.08 5.1E-1 -4.74 
3.1 5.1E-1 -4.75 
3.12 5.1E-1 -4.75 
3.14 5E-1 -4.75 
3.16 5E-1 -4.75 
3.18 5E-1 -4.75 
3.2 4.9E-1 -4.75 
3.22 4.9E-1 -4.75 
3.24 4.9E-1 -4.75 
3.26 4.8E-1 -4.75 
3.28 4.8E-1 -4.75 
3.3 4.8E-1 -4.75 
3.32 4.7E-1 -4.75 
3.34 4.7E-1 -4.75 
3.36 4.7E-1 -4.75 
3.38 4.6E-1 -4.75 
3.4 4.6E-1 -4.75 
3.42 4.6E-1 -4.75 
3.44 4.6E-1 -4.75 
3.46 4.5E-1 -4.75 
3.48 4.5E-1 -4.75 
3.5 4.5E-1 -4.75 
3.52 4.4E-1 -4.75 
3.54 4.4E-1 -4.75 
3.56 4.4E-1 -4.75 
3.58 4.4E-1 -4.75 
3.6 4.3E-1 -4.75 
3.62 4.3E-1 -4.75 
3.64 4.3E-1 -4.75 
3.66 4.3E-1 -4.75 
